id_activity;year;id_type;name_congress;date;location
117;2018;;J. Caillon;;38ème RICAI (Réunion interdisciplinaire de chimiothérapie anti-infectieuse) Infections à bacilles à Gram négatif multi-résistants, Paris, Décembre 2018
118;2019;;A. Roquilly;;52nd annual meeting of the French Society for Immunology, Nantes, France, November 12-14 2019
119;2018;;J. Caillon;;Journées nationales d'infectiologie, Nantes Juin 2018 : session posters
120;2018;;K. Asehnoune;;59th annual meeting of the SFAR (Société Française d'Anesthésie Réanimation)Paris, France, September 2017
121;2019;;A. Roquilly;;52nd annual meeting of the French Society for Immunology, Nantes, France, November 12-14 2019
122;2019;;A. Roquilly;;61st annual meeting of the SFAR (Société Française d'Anesthésie Réanimation), Paris, France, September 2019
123;2019;;J. Caillon;;39ème RICAI (Réunion interdisciplinaire de chimiothérapie anti-infectieuse) : la phagothérapie, Paris, Décembre 2019
124;2019;;K. Asehnoune;;61st annual meeting of the SFAR (Société Française d'Anesthésie Réanimation) Paris, France, September 2019
125;2019;;K. Asehnoune;;60th annual meeting of the SFAR (Société Française d'Anesthésie Réanimation) Paris, France, September 2018
126;2019;;L. Berthelot;;LARC Neuroscience, Nantes 2019
127;2019;;D. Laplaud;;LARC Neuroscience, Nantes 2019
128;2018;;PA Gourraud;;EFI European Federation for Immunogenetics, May 2018, Venise
129;2019;;PA Gourraud;;JOBIM (Journées Ouvertes Biologie, Informatique et Mathématiques), July 2019, Nantes
130;2016;;C. Guillonneau;;26th International Congress of The Transplantation Society
131;2017;;D. Laplaud;;ECTRIMS-ACTRIMS
132;2019;;L. Berthelot;;LARC Neuroscience, Nantes 2019
133;2017;;S. Conchon;;Joint meeting 22nd NAT and 2nd Labex IGO meeting, Nantes, France June 01-02 2017
134;2017;;B. Charreau;;Joint meeting 22nd NAT and 2nd Labex IGO meeting, Nantes, France June 01-02 2017
135;2017;;S. Brouard;;23rd NAT meeting, Nantes, France May 31-June 1 2018
